# x sin(x)
0.00000 0.00000
0.00629 0.00629
0.01258 0.01258
0.01887 0.01887
0.02516 0.02516
0.03145 0.03144
0.03774 0.03773
0.04403 0.04401
0.05032 0.05029
0.05661 0.05658
0.06289 0.06285
0.06918 0.06913
0.07547 0.07540
0.08176 0.08167
0.08805 0.08794
0.09434 0.09420
0.10063 0.10046
0.10692 0.10672
0.11321 0.11297
0.11950 0.11922
0.12579 0.12546
0.13208 0.13170
0.13837 0.13793
0.14466 0.14415
0.15095 0.15037
0.15724 0.15659
0.16353 0.16280
0.16982 0.16900
0.17611 0.17520
0.18239 0.18139
0.18868 0.18757
0.19497 0.19374
0.20126 0.19991
0.20755 0.20607
0.21384 0.21222
0.22013 0.21836
0.22642 0.22449
0.23271 0.23062
0.23900 0.23673
0.24529 0.24284
0.25158 0.24893
0.25787 0.25502
0.26416 0.26110
0.27045 0.26716
0.27674 0.27322
0.28303 0.27926
0.28932 0.28530
0.29561 0.29132
0.30189 0.29733
0.30818 0.30333
0.31447 0.30932
0.32076 0.31529
0.32705 0.32125
0.33334 0.32720
0.33963 0.33314
0.34592 0.33906
0.35221 0.34497
0.35850 0.35087
0.36479 0.35675
0.37108 0.36262
0.37737 0.36848
0.38366 0.37431
0.38995 0.38014
0.39624 0.38595
0.40253 0.39174
0.40882 0.39752
0.41511 0.40329
0.42139 0.40903
0.42768 0.41476
0.43397 0.42048
0.44026 0.42618
0.44655 0.43186
0.45284 0.43752
0.45913 0.44317
0.46542 0.44880
0.47171 0.45441
0.47800 0.46000
0.48429 0.46558
0.49058 0.47114
0.49687 0.47668
0.50316 0.48219
0.50945 0.48769
0.51574 0.49318
0.52203 0.49864
0.52832 0.50408
0.53461 0.50950
0.54089 0.51490
0.54718 0.52028
0.55347 0.52565
0.55976 0.53099
0.56605 0.53630
0.57234 0.54160
0.57863 0.54688
0.58492 0.55213
0.59121 0.55737
0.59750 0.56258
0.60379 0.56777
0.61008 0.57293
0.61637 0.57808
0.62266 0.58320
0.62895 0.58829
0.63524 0.59337
0.64153 0.59842
0.64782 0.60345
0.65411 0.60845
0.66039 0.61343
0.66668 0.61838
0.67297 0.62331
0.67926 0.62822
0.68555 0.63310
0.69184 0.63796
0.69813 0.64279
0.70442 0.64759
0.71071 0.65237
0.71700 0.65713
0.72329 0.66185
0.72958 0.66656
0.73587 0.67123
0.74216 0.67588
0.74845 0.68050
0.75474 0.68510
0.76103 0.68967
0.76732 0.69421
0.77361 0.69872
0.77989 0.70320
0.78618 0.70766
0.79247 0.71209
0.79876 0.71649
0.80505 0.72087
0.81134 0.72521
0.81763 0.72953
0.82392 0.73382
0.83021 0.73807
